ingredient_name,rating,benefits,categories,info
Methylsilanol Mannuronate,Good,"[""Hydration""]","[""Humectant""]",[]
Methylpropanediol,Good,"[""Hydration""]","[""Solvent"", ""Humectant""]","[""Enhances the absorption of other ingredients"", ""Characteristically hydrating; may leave a dewy finish"", ""Can be used to support a preservative blend""]"
Methylparaben,Good,[],"[""Preservative""]",[]
Methyl Methacrylate/Glycol Dimethacrylate Crosspolymer,Good,"[""Oil Control""]","[""Absorbent"", ""Film-Forming Agent"", ""Texture Enhancer""]","[""Used as a texture-enhancing ingredient and film former in cosmetic formulations"", ""May also be used as \u201cmicrospheres\u201d to gently release potent active ingredients into skin"", ""Touted for its absorbent properties that temper shine on oily skin"", ""Deemed safe by the Cosmetic Ingredient Review Expert Panel""]"
Methylglucoside Phosphate,Good,"[""Hydration""]","[""Humectant""]",[]
Methyl Glucose Sesquistearate,Good,"[""Hydration""]","[""Emollient"", ""Emulsifier""]","[""Vegetable-derived ingredient"", ""Functions as a skin-softening ingredient, emulsifier, and emollient (moisturizer)Deemed safe as used in cosmetics"", ""Supplied to cosmetics companies as off-white flakes""]"
Methyl Gluceth-20 Benzoate,Good,"[""Hydration""]","[""Emollient"", ""Texture Enhancer""]",[]
Methyl Gluceth-20,Good,"[""Hydration""]","[""Humectant""]","[""Functions as a moisturizing and conditioning ingredient"", ""According to its manufacturer, it has a low irritation potential"", ""Made by combining polyethylene glycol with glucose (sugar)Ruled safe as used in cosmetics""]"
Methionine,Good,"[""Anti-Aging"", ""Hydration""]","[""Antioxidant"", ""Humectant""]",[]
Methicone,Good,"[""Hydration""]","[""Silicone"", ""Emollient""]",[]
Melibiose,Good,"[""Hydration""]","[""Humectant""]",[]
Matricaria Oil,Good,"[""Anti-Aging"", ""Soothing""]","[""Antioxidant"", ""Plant Extracts""]","[""Has antioxidant benefits"", ""Also has soothing and antibacterial properties"", ""Deemed safe as used in cosmetics"", ""Commercial oil usually comes from the Chamomilla recutita, or German chamomile, plant""]"
Mastocarpus Stellatus,Good,[],"[""Plant Extracts""]",[]
Marionberry,Good,[],"[""Plant Extracts""]",[]
Marigold,Good,"[""Soothing"", ""Anti-Aging""]","[""Plant Extracts"", ""Antioxidant""]",[]
Mannose,Good,"[""Hydration""]","[""Humectant""]","[""Monosaccharide (simple sugar) derived from glucose"", ""Helps skin retain and attract moisture"", ""Promotes a dewy, plump skin look"", ""The CIR Expert Panel deemed safe as used in cosmetics""]"
Mannitol,Good,"[""Hydration""]","[""Humectant""]",[]
Mangifera Indica Root Extract,Good,"[""Anti-Aging""]","[""Plant Extracts"", ""Antioxidant""]","[""Plant extract derived from the mango tree"", ""Can have antioxidant properties""]"
Mangifera Indica Leaf Extract,Good,"[""Anti-Aging"", ""Soothing""]","[""Antioxidant"", ""Plant Extracts""]","[""From the leaf of the mango plant"", ""Has antioxidant properties"", ""Also exerts antimicrobial abilities"", ""Can potentially help control acne-causing bacteria""]"
Malva Sylvestris Extract,Good,"[""Soothing""]","[""Plant Extracts"", ""Antioxidant""]",[]
Maltose,Good,"[""Hydration""]","[""Humectant""]","[""A plant-derived sugar that consists of two glucose molecules"", ""Hydrates via retention of moisture"", ""Functions as a skin conditioning ingredient"", ""Also known as maltobiose or malt sugar"", ""Has skin, medical, and food applications""]"
Maltooligosyl Glucoside,Good,"[""Hydration""]","[""Humectant"", ""Film-Forming Agent"", ""pH Adjuster/Stabilizer""]","[""Used in skin care as a binding agent, emulsifier, hydrator, texture enhancer, and film former"", ""Gives cosmetic products a smooth feel and is believed to provide soothing benefits"", ""Sometimes used as an alternative to glycerin"", ""Often combined with hydrogenated starch hydrolysate""]"
Maltodextrin,Good,"[""Oil Control"", ""Hydration""]","[""Absorbent"", ""Film-Forming Agent"", ""Humectant""]","[""Plant-based sugar"", ""Serves as an absorbent and binding agent"", ""Also acts as a stabilizer, film-forming agent, + skin softener"", ""Ruled safe as used in cosmetics""]"
Malassezin,Good,"[""Anti-Aging"", ""Dark Spot Fading""]","[""Antioxidant"", ""Prebiotic/Probiotic/Postbiotic""]","[""Derived from Malassezia fufur yeast"", ""Has antioxidant benefits"", ""Improves hyperpigmentation"", ""Induces melanocyte apoptosis (melanocyte cell death)""]"
Malachite Extract,Good,"[""Anti-Aging""]","[""Antioxidant""]","[""Extract of malachite, a copper-rich mineral"", ""Copper\u2019s integral to skin and body health"", ""Helps curb the impact of environmental stressors"", ""Promotes a youthful appearance""]"
Mahonia Aquifolium Root Extract,Good,[],"[""Antioxidant"", ""Plant Extracts""]","[""Skin-calming ingredient, also known as Oregon grape"", ""Delivers significant antioxidant properties to help offset the ravaging effects of sun damage"", ""Can be used to address sensitive or reactive skin issues"", ""Slightly viscous brown liquid in raw material form""]"
Magnolia Officinalis Bark Extract,Good,"[""Anti-Aging"", ""Soothing""]","[""Antioxidant"", ""Plant Extracts"", ""Preservative""]","[""Plant extract taken from the bark of the Magnolia officinalis tree"", ""Contains unique soothing compounds"", ""Helps mitigate environmental damage, including discolorations"", ""Can be used as a part of a natural cosmetics preservative blend""]"
Magnesium Sulfate,Good,[],"[""Texture Enhancer""]",[]
Magnesium Stearate,Good,[],"[""Texture Enhancer"", ""Coloring Agent/Pigment""]",[]
Magnesium Palmitoyl Glutamate,Good,"[""Hydration""]","[""Humectant""]",[]
Magnesium Oleth Sulfate,Good,[],"[""Cleansing Agent""]",[]
Magnesium Laureth Sulfate,Good,[],"[""Cleansing Agent""]",[]
Magnesium Hydroxide,Good,"[""Oil Control""]","[""Absorbent"", ""Occlusive/Opacifying Agent"", ""pH Adjuster/Stabilizer""]",[]
Magnesium Chloride,Good,[],"[""Texture Enhancer""]","[""Mineral-derived salt use to enhance product texture"", ""Often used with other texture enhancers to thicken and stabilize formulas"", ""Used in foods to improve texture and hold ingredients together"", ""Plays a role in skin barrier recovery""]"
Magnesium Carboxymethyl Beta-Glucan,Good,"[""Soothing""]","[""Plant Extracts"", ""Humectant""]","[""Helps soothe a compromised skin barrier"", ""Polysaccharide that\u2019s been combined with magnesium to provide further stability"", ""Derived from the cell walls of baker\u2019s yeast"", ""Recommended for usage in percentages between .02 and .1.""]"
Magnesium Carbonate,Good,"[""Oil Control""]","[""pH Adjuster/Stabilizer"", ""Absorbent"", ""Texture Enhancer""]",[]
Magnesium Aspartate,Good,"[""Hydration""]","[""Humectant""]","[""A magnesium salt of amino acid aspartic acid"", ""Helps maintain proteins in skin\u2019s outermost layers"", ""Hydrates and helps to soften skin"", ""Sometimes used in a blend with amino acids and gluconates (a by-product of glucose)""]"
Magnesium Ascorbyl Palmitate,Good,"[""Anti-Aging"", ""Hydration""]","[""Antioxidant"", ""Humectant""]",[]
Magnesium Aluminum Silicate,Good,"[""Oil Control""]","[""Texture Enhancer"", ""Absorbent""]","[""Derived from naturally occurring clay minerals"", ""Often used as a thickening agent and texture enhancer in cosmetics"", ""May also be included to impart opacity to a formula"", ""Can function as an emulsion stabilizer helping unlike ingredients stay together"", ""Can deliver mattifying absorbent properties when properly formulated to do so""]"
Magnesium,Good,"[""Oil Control"", ""Hydration""]","[""Absorbent"", ""Humectant""]",[]
Macrocystis Pyrifera (Kelp) Extract,Good,"[""Anti-Aging"", ""Soothing"", ""Hydration""]","[""Antioxidant"", ""Plant Extracts""]","[""Type of brown seaweed"", ""Contains B vitamins + vitamins A and ESource of moisturizing oleic and linoleic acids"", ""Has soothing and barrier restoring properties"", ""Ruled safe as used in cosmetics""]"
Maclura Cochinchinensis Leaf Prenyl Flavonoids,Good,"[""Anti-Aging"", ""Anti-Acne""]","[""Antioxidant"", ""Plant Extracts""]","[""Subset of flavonoids extracted from the cockspur thorn"", ""Has antioxidant abilities"", ""Potential antimicrobial properties""]"
Macadamia Nut Oil,Good,"[""Hydration""]","[""Emollient"", ""Plant Extracts""]",[]
Lysolecithin,Good,[],"[""Cleansing Agent"", ""Emulsifier""]","[""Primarily used as an emulsifier with other fatty acids"", ""Has mild cleansing properties"", ""Can be a key part of cosmetic ingredient delivery systems"", ""Obtained via hydrolysis of barrier-repairing ingredient lecithin""]"
Lysine,Good,"[""Hydration"", ""Anti-Aging""]","[""Humectant"", ""Antioxidant""]","[""Amino acid that can enhance skin\u2019s hydration"", ""May help skin produce supportive substances that keep it looking smooth and youthful"", ""Can be animal-derived or made synthetically in a lab"", ""Has many derivatives with skin care benefits including tranexamic acid""]"
Locust Bean,Good,[],"[""Texture Enhancer"", ""pH Adjuster/Stabilizer""]",[]
Lithium Magnesium Sodium Silicate,Good,[],"[""Texture Enhancer""]",[]
Liposomes,Good,[],"[""Suspending/Dispersing Agent""]",[]
Linoleamidopropyl PG-Dimonium Chloride Phosphate,Good,[],"[""Cleansing Agent""]","[""Skin and hair conditioning ingredient"", ""Also functions as a surfactant"", ""Designed to mimic phospholipids that occur naturally in skin"", ""Can be naturally derived from safflower oil""]"
Lilium Candidum Flower Extract,Good,"[""Anti-Aging"", ""Dark Spot Fading""]","[""Antioxidant"", ""Plant Extracts""]","[""From the white lily plant"", ""Has antioxidant properties"", ""Also has anti-inflammatory benefits"", ""Could improve skin discolorations""]"
Levulinic Acid,Good,"[""Anti-Aging""]","[""Antioxidant"", ""Humectant""]","[""Occurs in many natural and processed foods"", ""Byproduct of certain biorefinery processes"", ""Skin conditioning ingredient + possibly a penetration enhancer"", ""Maximum usage in leave-on products is 0.0005%""]"
Leuconostoc/Radish Root Ferment Filtrate,Good,[],"[""Plant Extracts"", ""Preservative""]","[""Created by fermenting Raphanus sativus (radish) roots with the microorganism, Leuconostoc"", ""Used as a preservative in cosmetics and skin care"", ""Usually used at a concentration of 0.5%""]"
Lentil Fruit Extract,Good,"[""Anti-Aging""]","[""Plant Extracts"", ""Antioxidant""]",[]
Lens Esculenta (Lentil) Seed Extract,Good,"[""Anti-Aging"", ""Hydration"", ""Soothing""]","[""Antioxidant"", ""Plant Extracts""]","[""Plant-derived legume seed extract"", ""Contains flavonoids and phenolic compounds"", ""Offers skin antioxidant benefits"", ""Can help sooth skin""]"
Lens Esculenta (Lentil) Fruit Extract,Good,"[""Anti-Aging"", ""Hydration""]","[""Plant Extracts"", ""Antioxidant""]","[""Plant extract\u202fthat functions as a skin-softening agent and antioxidant"", ""Comes from the edible legume, lentil"", ""Lentil is known to be a source of amino acids that could prove to be beneficial for skin"", ""According to one cosmetic ingredient manufacturer, this extract contains vitamin B5""]"
Lecythis Minor Seed Oil,Good,"[""Anti-Aging"", ""Hydration""]","[""Antioxidant"", ""Emollient"", ""Plant Extracts""]","[""Also known as monkey pot oil or paradise nut oil"", ""Extracted from the fruit of a tree native to South America"", ""Has hydrating and barrier protecting properties"", ""Also a good source of antioxidants"", ""Light and slightly yellow translucent oil""]"
L-Cysteine,Good,"[""Anti-Aging""]","[""Antioxidant""]",[]
Lawsonia Inermis (Henna) Flower/Fruit/Leaf Extract,Good,"[""Anti-Aging"", ""Soothing""]","[""Antioxidant"", ""Plant Extracts""]","[""Extract from the henna plant"", ""Has antioxidant properties"", ""Also a source of fatty acids"", ""Used as a dye since antiquity""]"
Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone,Good,[],"[""Emulsifier"", ""Cleansing Agent"", ""Silicone"", ""Texture Enhancer""]",[]
Lauryl Glucoside,Good,[],"[""Cleansing Agent""]",[]
Lauryl Betaine,Good,[],"[""Cleansing Agent""]","[""Surfactant used in skin, hair and body care for cleansing"", ""Helps stabilize foam in rinse-off products"", ""Occurs in cosmetics between 0.015% and 8.8%CIR Expert Panel deemed safe for use""]"
Lauryl Alcohol,Good,"[""Hydration""]","[""Cleansing Agent"", ""Emollient""]",[]
Lauroyl Lysine,Good,"[""Hydration""]","[""Humectant"", ""Emollient""]","[""Functions as a skin-softening and hair-conditioning agent, imparting a silky feel"", ""Popular in makeup formulations that promise long wear due to the exceptional adherence to skin"", ""Also used to adjust the texture of cosmetic formulas"", ""Proven track record of safety in concentrations up to 45%""]"
Laureths,Good,[],"[""Cleansing Agent""]",[]
Laureth-7 Citrate,Good,[],"[""Cleansing Agent""]","[""Used as a gentle cleansing agent in skin care and hair care formulations"", ""Created from a combination of coconut/palm kernel oil, citric acid and ethylene oxide"", ""Described as a clear, yellowish liquid in its raw material form"", ""Fragrance free""]"
Laureth-7,Good,[],"[""Cleansing Agent"", ""Texture Enhancer"", ""Emulsifier""]","[""Used as a cleansing agent/emulsifier/texture enhancer in cosmetic formulas"", ""Derived from lauryl alcohol (a non-drying fatty alcohol derived from coconut oil)Liquid in its raw material form"", ""Proven track record of safety in cosmetic use""]"
Laureth-4,Good,[],"[""Cleansing Agent"", ""Texture Enhancer""]","[""Works as a cleansing agent in skin care formulas"", ""Also functions as an emulsifier/stabilizer/solubizer and texture enhancer"", ""Described as a clear, colorless liquid in raw material form"", ""Proven track record of safety in cosmetic use""]"
Laureth-3,Good,[],"[""Emulsifier"", ""Cleansing Agent"", ""Texture Enhancer""]","[""Works as an emulsifier and cleansing agent in skin care formulas\u202fAlso functions as a texture enhancer/thickening agent"", ""Solubilizing properties make it popular in products where a milky consistency is desired"", ""Proven track record of safety in cosmetic use""]"
Laureth-23,Good,[],"[""Cleansing Agent"", ""Texture Enhancer""]","[""Multitasking cosmetic ingredient that\u2019s often used as a cleansing agent"", ""Creates more aesthetically pleasing formulary textures"", ""Found in all kinds of skin care and hair products"", ""Proven track record of safety in cosmetics""]"
Laurdimonium Hydroxypropyl Hydrolyzed Wheat Protein,Good,"[""Hydration""]","[""Humectant""]",[]
Laurdimonium Hydroxypropyl Hydrolyzed Soy Protein,Good,"[""Hydration""]","[""Humectant""]","[""Provides hydration in skin care products"", ""Made from modifying lauric acid and soy protein"", ""Reduces static electricity in hair care products""]"
Lauramphocarboxyglycinate,Good,[],"[""Cleansing Agent""]",[]
Lauramidopropyl Betaine,Good,[],"[""Cleansing Agent"", ""Texture Enhancer""]","[""Gentle cleansing agent most commonin shampoo products"", ""Also contributes foam boosting, antistatic, viscosity adjusting, and conditioning properties"", ""Noted in research as a zwitterionic surfactant with an overall neutral charge"", ""Pale yellow clear liquid in raw material form""]"
Larrea Tridentata Extract,Good,"[""Anti-Aging""]","[""Plant Extracts"", ""Antioxidant""]",[]
Larrea Tridentata,Good,"[""Anti-Aging""]","[""Plant Extracts"", ""Antioxidant""]",[]
Larrea Divaricata Extract,Good,"[""Anti-Aging""]","[""Plant Extracts"", ""Antioxidant""]",[]
Lanolin Alcohol,Good,"[""Hydration""]","[""Emollient"", ""Texture Enhancer"", ""pH Adjuster/Stabilizer""]",[]
Lanolin,Good,"[""Hydration""]","[""Emollient"", ""Emulsifier""]","[""Water-repellant wax from sheep's wool"", ""Used as an emollient in cosmetics"", ""Also a highly effective skin protectant""]"
Laminaria Longicruris,Good,[],"[""Plant Extracts""]",[]
Lactose,Good,"[""Hydration""]","[""Humectant""]","[""Principal sugar found in milk"", ""Acts as a humectant in skin care products"", ""Ruled safe as used in cosmetics"", ""White or slightly yellow powder in its raw form"", ""Animal-derived, so not considered vegan""]"
Lactococcus Ferment Lysate,Good,"[""Anti-Aging""]","[""Humectant""]","[""Postbiotic skin care ingredient, derived from probiotics through the fermentation process"", ""Offers potential anti-aging benefits due to its mitigation of visible sun damage"", ""May also improve skin\u2019s ability to withstand compromising influences and external stressors"", ""Works best in liquid emulsion formulations but can also be used gel/serum consistencies""]"
Lactobionate,Good,"[""Hydration""]","[""Humectant""]",[]
Lactobacillus Punica Granatum Fruit Ferment Extract,Good,"[""Anti-Aging"", ""Evens Skin Tone"", ""Smooths Bumpy Skin""]","[""Antioxidant"", ""Plant Extracts"", ""Exfoliant""]","[""AKA Pomegranate enzyme"", ""Result of the fermentation of Punica granatum fruit extract"", ""Contains many anti-aging benefits, like the visible reduction of wrinkles and dark spots"", ""Offers light exfoliation""]"
Lactobacillus/Rice Ferment Filtrate,Good,"[""Anti-Aging"", ""Evens Skin Tone"", ""Soothing""]","[""Antioxidant"", ""Prebiotic/Probiotic/Postbiotic"", ""Plant Extracts""]","[""Ingredient (AKA sake) created through the fermentation of Oryza sativa (rice)Offers antioxidant driven anti-aging benefits"", ""Also helps soothe and even skin tone"", ""Commonly used in skin and hair care applications""]"
Kojyl Methylenedioxycinnamate,Good,"[""Anti-Acne"", ""Evens Skin Tone""]","[""Antioxidant""]","[""Derived from kojic acid"", ""Has antioxidant properties"", ""Also has skin-brightening abilities""]"
Kojic Dipalmitate,Good,"[""Anti-Aging"", ""Hydration""]","[""Antioxidant"", ""Emollient""]",[]
Kojic Acid,Good,"[""Dark Spot Fading"", ""Evens Skin Tone"", ""Anti-Aging""]","[""Antioxidant""]","[""By-product of the fermentation process of malting rice for use in the manufacture of sake"", ""Helps to brighten an uneven tone"", ""Contains antioxidant properties"", ""Has issues with stability when in formulations""]"
Kelp Extract,Good,"[""Anti-Aging"", ""Soothing"", ""Hydration""]","[""Antioxidant"", ""Plant Extracts""]","[""Extract of brown algae"", ""Rich in B vitamins + other antioxidants"", ""Has soothing and hydrating properties""]"
Kaolin,Good,"[""Oil Control"", ""Pore Minimizer""]","[""Absorbent"", ""Texture Enhancer"", ""Occlusive/Opacifying Agent""]","[""Naturally occurring clay mineral famously used in cosmetics for its absorbent properties"", ""Particularly popular in facial masks targeted at reducing skin\u2019s surface oil"", ""Also functions as an anticaking agent, bulking agent, and opacifying agent"", ""Sometimes referred to as \u201cChina Clay\u201d""]"
Kalanchoe Pinnata Leaf Extract,Good,"[""Anti-Aging""]","[""Antioxidant"", ""Plant Extracts""]","[""Good source of antioxidants"", ""Has photoprotective properties"", ""Used in traditional medicine"", ""Also called life plant or miracle leaf""]"
Jujube Fruit Extract,Good,"[""Soothing""]","[""Antioxidant""]",[]
Japan Wax,Good,"[""Hydration""]","[""Texture Enhancer"", ""Emollient"", ""Occlusive/Opacifying Agent""]",[]
Jania Rubens Extract,Good,"[""Anti-Aging"", ""Soothing""]","[""Antioxidant""]","[""From a type of red algae"", ""Rich in antioxidants"", ""Contains glycosaminoglycans"", ""Possibly helps build collagen"", ""Has soothing properties""]"
Isostearyl Palmitate,Good,"[""Hydration""]","[""Emollient""]","[""Ester of isostearyl alcohol and palmitic acid"", ""Used as an emollient and binding agent"", ""Impart a lightweight, silky emolliency to formulas"", ""Ruled safe as used in cosmetics""]"
Isostearyl Neopentanoate,Good,"[""Hydration""]","[""Emollient"", ""Solvent"", ""Texture Enhancer""]","[""Ester of isostearyl alcohol and neopentanoic acid"", ""Functions as emollient to lend lubricity, spreadability, and moisture retention"", ""May be used as a solvent for certain UV absorbers"", ""Can also be used as a binding agent for pressed powder makeup"", ""Clear, slightly yellow liquid in raw material form""]"
Isostearyl Isostearate,Good,"[""Hydration""]","[""Emollient"", ""Texture Enhancer""]","[""Liquid emollient ester that helps prevent moisture loss"", ""Improves the texture of makeup products such as lipstick"", ""Made from a blend of a fatty acid and a fatty alcohol"", ""Sometimes used to replace mineral oil""]"
Isostearyl Alcohol,Good,"[""Hydration""]","[""Emollient"", ""Texture Enhancer""]","[""Emollient\u2014 provides long-lasting moisture and softens skin"", ""Viscosity control\u2014helps improve product texture and flow"", ""Spreading agent\u2014allows for smooth, easy application"", ""Solubilizer\u2014helps ingredients mix evenly in water"", ""May be derived from plant sources or synthetically made""]"
Isostearic Acid,Good,[],"[""Cleansing Agent"", ""Texture Enhancer""]",[]
Isostearamide DEA,Good,[],"[""Cleansing Agent"", ""Texture Enhancer""]",[]
Isopropyl Titanium Triisostearte/Triethoxycaprylylsilane Crosspolymer,Good,[],"[""Texture Enhancer""]",[]
Isopropyl Titanium Triisostearate,Good,[],"[""Texture Enhancer""]","[""Used as a surface treatment for cosmetic pigments"", ""Also used to coat titanium dioxide nanoparticles"", ""Helps keep titanium dioxide nanoparticles stable in sunscreen formulas"", ""Improves the efficacy of sunscreen formulas""]"
Isopropyl Palmitate,Good,"[""Hydration""]","[""Emollient"", ""Texture Enhancer""]",[]
Isopropyl Myristate,Good,"[""Hydration""]","[""Emollient"", ""Texture Enhancer""]",[]
Isopropyl Lanolate,Good,"[""Hydration""]","[""Emollient"", ""Texture Enhancer""]",[]
Isopropyl Isostearate,Good,"[""Hydration""]","[""Emollient"", ""Solvent""]",[]
Isopentyldiol,Good,"[""Hydration""]","[""Solvent"", ""Humectant""]","[""Synthetic ingredient that is used as solvent to form cosmetic solutions"", ""Can also add hydration to skin thanks to its humectant properties"", ""Provides emollience minus a tacky feel"", ""Described as an odorless, colorless, water-soluble liquid""]"
Isoparaffin,Good,[],[],[]
Isononyl Isononanoate,Good,[],"[""Emollient""]","[""Synthetic ester that functions as an emollient skin-softening agent"", ""Derived from the esters of nonanoic acid, which occurs naturally"", ""Typically used in concentrations between 2\u201310%Ruled safe as used in cosmetics""]"
Isomalt,Good,"[""Hydration""]","[""Humectant"", ""Texture Enhancer""]","[""Polysaccharide that works as a humectant"", ""Helps maintain water content in cosmetic and skin care formulas"", ""In its raw form appears as a white crystalline substance"", ""Often used in food applications""]"
Isoleucine,Good,"[""Hydration""]","[""Humectant""]","[""An essential amino acid that provides hydrating benefits"", ""Plays a role in maintaining collagen and elastin (when consumed)Works with other amino acids to maintain skin\u2019s barrier"", ""May be animal-derived or synthetic""]"
Isohexadecane,Good,[],"[""Texture Enhancer"", ""Emulsifier"", ""Cleansing Agent""]","[""Versatile ingredient used as a cleansing agent, solvent, texture enhancer, and skin-conditioning agent"", ""Imparts a non-greasy, lightweight, silky feel"", ""Popular in products geared toward oily skin, as well as makeup removers"", ""Also used in hair care to add silkiness without weighing tresses down""]"
Isododecane,Good,[],"[""Solvent""]",[]
Isodecyl Salicylate,Good,"[""Hydration""]","[""Emollient"", ""Humectant""]","[""Ester of decyl alcohol + salicylic acid"", ""Skin conditioning ingredient"", ""Anti-static agent"", ""Ruled safe as used in cosmetics""]"
Isodecyl Neopentanoate,Good,"[""Hydration""]","[""Emollient""]","[""Synthetic emollient that also helps product flow"", ""Delivers silicone-like esthetics with a light, dry finish"", ""Helps oil-soluble ingredients penetrate skin more effectively"", ""Made from fatty alcohols and a short-chain fatty acid""]"
Isoceteth-20,Good,[],"[""Cleansing Agent"", ""Emulsifier""]","[""Mild surfactant, noted for its ability to gently cleanse with minimal disruption to skin\u2019s barrier"", ""Exhibits excellent foaming properties"", ""Can also be used to solubilize perfumes or other ingredients in water"", ""Deemed safe in up to 21% concentration by the Cosmetic Ingredient Review Expert Panel""]"
Isobutylparaben,Good,[],"[""Preservative""]",[]
Isobutyl Acetate,Good,[],"[""Solvent""]",[]
Isoamyl Laurate,Good,"[""Hydration""]","[""Emollient"", ""Emulsifier""]","[""Skin-softening emollient that imparts a lightweight, velvety feel"", ""Enhances the spreadability of a formula"", ""Found in skin care, hair care and makeup products (where it keeps pigments evenly dispersed)Can be plant derived or synthetic"", ""Deemed safe in cosmetic use up to 2%""]"
Isoamyl Cocoate,Good,"[""Hydration""]","[""Emollient""]",[]
Iodopropynyl Butylcarbamate,Good,[],"[""Preservative""]",[]
Inactive Ingredient,Good,[],"[""Occlusive/Opacifying Agent"", ""Polymer"", ""Texture Enhancer""]","[""Provides support for active ingredients in a skin care formula"", ""Plays crucial formulary roles, which may include adjusting the p"", ""H, stabilizing the emulsion, etc.May deliver hydration, antioxidant power, exfoliating abilities, skin-softening, etc.Listed after the active ingredient(s) in alphabetical or descending order""]"
Illite,Good,"[""Oil Control""]","[""Absorbent"", ""Texture Enhancer""]",[]
Hyssop,Good,"[""Anti-Aging""]","[""Antioxidant"", ""Plant Extracts""]",[]
Hypochlorous Acid,Good,"[""Smooths Bumpy Skin"", ""Soothing""]","[""Antibacterial""]","[""Naturally occurring oxidizing ingredient"", ""Helps tackle harmful microorganisms on skin & surfaces"", ""Promotes a smooth appearance"", ""Can help calm irritated or sensitized skin""]"
Hylocereus Undatus Fruit Extract,Good,"[""Anti-Aging""]","[""Antioxidant"", ""Plant Extracts""]","[""Antioxidant-rich plant-extract derived from the Hylocereus undatus fruit, AKA pitaya or white dragon fruit"", ""Assists in protecting skin from pro-aging environmental stressors"", ""Helps skin maintain a youthful glow"", ""Susceptible to degradation when exposed to light and air""]"
Hydroxystearic Acid,Good,[],"[""Emollient"", ""Texture Enhancer"", ""Cleansing Agent""]","[""May be derived from castor oil or created in a lab"", ""Also known as octadecanoic acid and 12-hydroxystearic acid"", ""Considered a surfactant when used in soaps"", ""Considered a hydrating fatty acid when used in leave-on products""]"
Hydroxypropyl Tetrahydropyrantriol,Good,"[""Anti-Aging"", ""Hydration""]","[""Humectant""]","[""Derived from xylose (a sugar abundant in beech trees)Used in skin care products for its purported anti-aging and hydrating properties"", ""May help increase glycosaminoglycans within skin"", ""Also known as Pro-Xylane""]"
Hydroxypropyl Starch Phosphate,Good,[],"[""Texture Enhancer"", ""Emulsifier""]","[""Lightweight, plant-based or synthetic starch ingredient"", ""Functions as a texture enhancer in cosmetics"", ""Also used to stabilize cosmetic products"", ""AKA distarch phosphate or hydroxypropyl distarch phosphate""]"
Hydroxypropyl Methylcellulose,Good,[],"[""Film-Forming Agent"", ""Polymer"", ""Texture Enhancer""]","[""Modified cellulose polymer"", ""Film-forming and binding agent"", ""Assists in creating a cohesive formula texture"", ""Safe for use in cosmetics""]"
Hydroxypropyl Guar,Good,[],"[""Film-Forming Agent"", ""Texture Enhancer"", ""Plant Extracts""]",[]
Hydroxypropyl Cyclodextrin,Good,[],"[""Chelating Agent"", ""pH Adjuster/Stabilizer""]","[""Plant- derived or synthetic carbohydrate that functions as a chelating agent and stabilizer"", ""Used in skin care formulations, such as moisturizers, eye creams, and rinse-off products"", ""Can also be found in hair care and deodorant products"", ""Deemed safe for use in cosmetics""]"
Hydroxyproline,Good,"[""Hydration""]","[""Humectant""]","[""A nonessential amino acid"", ""Critical component of collagen"", ""Works topically as a humectant"", ""Helps hydrate skin and boost the barrier""]"
Hydroxyphenyl Propamidobenzoic Acid,Good,"[""Soothing""]","[""Texture Enhancer""]","[""Synthetic skin-soothing ingredient noted for its ability to calm aggravated skin"", ""May even be suitable for skin that is prone to dermatitis, eczema and psoriasis"", ""Can also be used to improve formulary texture"", ""Researchers point out similarities to the active compounds in Avena sativa (oat)""]"
Hydroxymethoxyphenyl Decanone,Good,"[""Anti-Aging"", ""Soothing""]","[""Antioxidant""]","[""Synthetic molecule analog to natural antioxidant paradol"", ""Provides antioxidant benefits"", ""Can help skin\u2019s hyaluronic acid production"", ""Assists in soothing sensitive skin""]"
Hydroxyethylcellulose,Good,[],"[""Texture Enhancer"", ""Film-Forming Agent"", ""pH Adjuster/Stabilizer""]","[""Naturally derived thickening agent"", ""Comes from cellulose, a sugar found in the cell walls of plants"", ""Ruled safe as used in cosmetics"", ""Approved as a non-direct food additive""]"
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Good,[],"[""Suspending/Dispersing Agent"", ""Texture Enhancer"", ""Polymer""]","[""Versatile polymer widely used in skin care and makeup"", ""Aids texture and helps stabilize formulas"", ""Used as a thickening agent in water-based products"", ""Often used to create aesthetically pleasing transformative textures"", ""Helps disperse skin-beneficial ingredients such as UV filters""]"
Hydroxyapatite,Good,[],"[""Texture Enhancer""]","[""Used to deliver bio-active ingredients in a controlled manner"", ""Considered bio-compatible and breaks down to calcium"", ""Helps enhance texture"", ""Can be used as an abrasive agent"", ""Safe micro-sized versions typically used in cosmetics""]"
Hydrolyzed Wheat Protein,Good,"[""Hydration""]","[""Humectant"", ""Plant Extracts""]",[]
Hydrolyzed Vegetable Protein,Good,"[""Hydration""]","[""Humectant"", ""Plant Extracts""]","[""Plant-derived hydrating ingredient"", ""Promotes water-binding and skin conditioning"", ""Contains skin-friendly amino acids, peptides and proteins"", ""Also used in the food and hair care industries""]"
