ingredient_name,rating,benefits,categories,functional_group,info,source
Polyglyceryl-4 Caprate,Good,['Hydration'],['Emulsifier' 'Emollient' 'Cleansing Agent'],['Support' 'Utility'],"['An emollient and surfactant formed by the combination of polyglycerin-4 + capric acid'
 'As a skin-conditioning agent, it smooths and hydrates skin'
 'Also works as a penetration enhancer for active ingredients, such as peptides'
 'Commercially, it can be synthetic or plant-derived, most often from rapeseed oil']",Paula's Choice
Polyglyceryl-3 Stearate,Good,[],['Emollient' 'Emulsifier'],['Support' 'Utility'],[],Paula's Choice
Polyglyceryl-3 Polyricinoleate,Good,[],['Emulsifier' 'Texture Enhancer'],['Utility' 'Sensory'],"['Primarily used to keep oil and water phases of skin care blended'
 'Helps soften and condition skin'
 'Made from a derivative of glycerin and castor oil fatty acid'
 'Is both plant-derived and synthetic']",Paula's Choice
Polyglyceryl-3 Methylglucose Distearate,Good,[],[],[],[],Paula's Choice
Polyglyceryl-3 Diisostearate,Good,['Hydration'],['Emollient' 'Emulsifier' 'Cleansing Agent'],['Support' 'Utility'],"['Blend of isostearic acid and glycerin derivative'
 'Primarily used as an emulsifier'
 'Has lightweight emollient properties for skin'
 'May be synthetic, animal-, or plant-derived']",Paula's Choice
Polyglyceryl-3 Beeswax,Good,[],['Cleansing Agent' 'Emulsifier'],['Utility'],[],Paula's Choice
Polyglyceryl 2 Triisostearate,Good,['Hydration'],['Texture Enhancer' 'Emollient'],['Support' 'Sensory'],[],Paula's Choice
Polyglyceryl-2 Tetraisostearate,Good,['Hydration'],['Emollient' 'Emulsifier'],['Support' 'Utility'],"['Used as emollient, surfactant, and emulsifier' 'Vegan ingredient'
 'Deemed safe as used in cosmetics' 'Yellow liquid in its raw form']",Paula's Choice
Polyglyceryl-2 Stearate,Good,['Hydration'],['Emulsifier' 'Emollient' 'Cleansing Agent'],['Support' 'Utility'],"['Blend of stearic acid and glycerin derivative'
 'Primarily used as an emulsifier' 'Has emollient properties for skin'
 'May be synthetic or animal-derived']",Paula's Choice
Polyglyceryl-10 Stearate,Good,['Hydration'],['Cleansing Agent' 'Emulsifier' 'Humectant'],['Support' 'Utility'],[],Paula's Choice
Polyglyceryl-10 Laurate,Good,[],['Cleansing Agent' 'Emulsifier' 'Polymer'],['Utility' 'Sensory'],"['Plant-derived or synthetic' 'Skin-softening emulsifier'
 'Also works as a surfactant' 'Found to be gentle on skin'
 'Ruled safe as used in cosmetics']",Paula's Choice
Polyglyceryl-10 Dipalmitate,Good,['Hydration'],['Emollient' 'Emulsifier'],['Support' 'Utility'],"['Functions as an emollient in cosmetics' 'Also an emulsifier'
 'Ruled safe as used in cosmetics' 'Used in ranges between 1-3%']",Paula's Choice
Polyglyceryl-10 Dioleate,Good,['Hydration'],['Emulsifier' 'Humectant'],['Support' 'Utility'],[],Paula's Choice
Polyglyceryl-10 Caprylate/Caprate,Good,[],['Emulsifier' 'Solvent'],['Utility'],[],Paula's Choice
Polyglyceryl-10 Behenate/Eicosadioate,Good,[],[],[],"['Ester of polyglyceryl-10 + fatty acids behenic & eicosadoic'
 'Stabilizes oil and water emulsions' 'Conditions skin'
 'Ruled safe as used in cosmetics']",Paula's Choice
Polyglycerol Monostearate,Good,[],[],[],[],Paula's Choice
Polyglycerin-6,Good,['Hydration'],['Humectant'],['Support'],"['Synthetic glycerin polymer composed of six repeating glycerin molecules'
 'Best known for its humectant properties'
 'Helps skin attract and retain water to boost hydration'
 'Promotes a plump, dewy look']",Paula's Choice
Polyglucuronic Acid,Good,['Hydration'],['Film-Forming Agent' 'Humectant'],['Support' 'Sensory'],"['Plant-derived or synthetic polysaccharide ingredient'
 'Serves as a film-forming agent and has humectant properties'
 'Can smooth skin and prevent dehydration'
 'Usage levels in cosmetics range from 1–3%']",Paula's Choice
Polyethylene Glycol,Good,['Hydration'],['Texture Enhancer' 'Humectant'],['Support' 'Sensory'],[],Paula's Choice
Polyethylene,Good,[],['Texture Enhancer' 'Polymer' 'Film-Forming Agent'],['Sensory'],[],Paula's Choice
Polyester-8,Good,['Hydration'],['Film-Forming Agent' 'Emollient'],['Support' 'Sensory'],"['Emollient film-forming agent'
 'Improves the performance and adherence of sunscreens'
 'Considered non-irritating' 'Made using synthetic polymer technology']",Paula's Choice
polydextrose,Good,['Hydration'],['Humectant' 'Texture Enhancer'],['Support' 'Sensory'],"['Sugar-derived prebiotic fiber' 'Adds bulk to cosmetics'
 'Has humectant properties on skin' 'Globally approved for use in foods']",Paula's Choice
Polybutene,Good,['Hydration'],['Texture Enhancer' 'Polymer' 'Emollient'],['Support' 'Sensory'],"['Synthetic polymer with a thick, viscous texture'
 'Has emollient properties for skin and lips'
 'Contributes to long wear of lip glosses + balms'
 'Considered safe as used in cosmetics']",Paula's Choice
Polyaminopropyl Biguanide,Good,[],['Preservative'],['Utility'],[],Paula's Choice
Polyamide-8,Good,[],['Emollient' 'Film-Forming Agent' 'Occlusive/Opacifying Agent'],['Support' 'Sensory'],"['A synthetic polymer made from multiple ingredients'
 'Serves as an emollient, occlusive, film-former, and binding agent'
 'Often used in lipsticks and eyeshadows'
 'Can create clear formulas with high gloss and water resistance']",Paula's Choice
Polyacrylate Crosspolymer-6,Good,[],['Texture Enhancer' 'pH Adjuster/Stabilizer'],['Utility' 'Sensory'],"['Synthetic powder ingredient that thickens water-based emulsions'
 'Works particularly well to create gel textures that have a non-sticky finish and elegant slip'
 'Also used to help stabilize several bio-active ingredients in a single formula'
 'Favorable for products geared toward compromised skin thanks to barrier restorative properties'
 'Considered safe as used in cosmetics']",Paula's Choice
Polyacrylate Crosspolymer,Good,[],['Film-Forming Agent' 'Texture Enhancer'],['Sensory'],[],Paula's Choice
Polyacrylate-17,Good,[],['Film-Forming Agent'],['Sensory'],[],Paula's Choice
Polyacrylamide,Good,[],['Film-Forming Agent'],['Sensory'],"['Acts as a film-former, suspending/binding agent and emollient in skin care formulas'
 'Other reported uses include foam building agent in cleansing products'
 'Available in different forms as a solid, aqueous solution, or emulsion'
 'Found in all kinds of beauty products including shampoos, lotions, and self-tanners']",Paula's Choice
Poloxamers,Good,[],['Cleansing Agent' 'Emulsifier'],['Utility'],[],Paula's Choice
Poloxamer 407,Good,[],['Cleansing Agent' 'Emulsifier'],['Utility'],[],Paula's Choice
Poloxamer 184,Good,[],['Cleansing Agent' 'Emulsifier'],['Utility'],[],Paula's Choice
Podocarpus Elatus Fruit Extract,Good,['Anti-Aging' 'Soothing' 'Dark Spot Fading'],['Antioxidant' 'Plant Extracts'],['Actives' 'Support'],"['Fruit from the Illwarra plum tree'
 'Rich in antioxidant phenolic compounds' 'Has soothing benefits'
 'Also helps fight uneven skin tone'
 'Part of a blend known as Wildplum Harvest™ AF']",Paula's Choice
Plum Extract,Good,['Anti-Aging'],['Plant Extracts' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Pleiogynium Timoriense Fruit Extract,Good,['Anti-Aging'],['Antioxidant' 'Plant Extracts'],['Actives' 'Support'],"['From the Australian Burdekin plum' 'High in antioxidant activity'
 'Part of an ingredient blend called Wildplum Harvest™ AF']",Paula's Choice
Plankton Extract,Good,['Hydration'],['Humectant'],['Support'],[],Paula's Choice
Pistacia Vera Seed Oil,Good,['Hydration'],['Emollient' 'Plant Extracts'],['Support'],[],Paula's Choice
Pistachio Seed Oil,Good,['Hydration'],['Emollient' 'Plant Extracts'],['Support'],[],Paula's Choice
Piperonyl Glucoside,Good,['Soothing'],['Antioxidant'],['Actives'],"['Relatively new molecule used in skin care'
 'Said to target factors that lead to redness'
 'Part of an ingredient blend marketed as Redyless®Supplied in a base of water and humectant propanediol']",Paula's Choice
Pinus Sylvestris Extract,Good,['Anti-Aging'],['Plant Extracts' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Pinus Densiflora Leaf Extract,Good,['Anti-Aging' 'Soothing'],['Antioxidant' 'Plant Extracts'],['Actives' 'Support'],"['Has antioxidant properties' 'Also has soothing benefits'
 'Might be able to improve uneven tone'
 'Comes from a plant called Japanese or Korean red pine']",Paula's Choice
Pinecone Extract,Good,['Anti-Aging'],['Plant Extracts' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Pineapple Extract,Good,['Anti-Aging' 'Soothing'],['Plant Extracts' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Phytosteryl Macadamiate,Good,['Hydration'],['Emollient' 'Plant Extracts' 'Texture Enhancer'],['Support' 'Sensory'],"['An ester of phytoesterols and the fatty acids found in macadamia seed oil'
 'Gives skin emollient, skin-softening properties'
 'Assists in maintaining skin hydration'
 'Source of essential fatty acids for the skin']",Paula's Choice
Phytonadione,Good,[],[],[],[],Paula's Choice
Phytic Acid,Good,['Hydration' 'Evens Skin Tone'],['Humectant' 'Chelating Agent' 'Exfoliant'],['Actives' 'Support' 'Utility'],"['Found in the seeds and fibers of many types of plants'
 'When ingested, is considered an “antinutrient” in people'
 'Has antioxidant and calming capabilities when used topically'
 'Has mild exfoliant properties' 'Deemed safe as used in cosmetics']",Paula's Choice
Phytantriol,Good,['Hydration'],['Humectant'],['Support'],[],Paula's Choice
Phyllostachys Bambusoides Extract,Good,['Anti-Aging' 'Hydration' 'Soothing'],['Antioxidant' 'Plant Extracts'],['Actives' 'Support'],"['Plant extract derived from bamboo'
 'Rich in various skin-friendly compounds'
 'Potential anti-aging and tone-evening benefits'
 'Noted for soothing and hydrating properties']",Paula's Choice
Phosphoric Acid,Good,[],['pH Adjuster/Stabilizer'],['Utility'],[],Paula's Choice
Phenyl Trimethicone,Good,['Hydration'],['Silicone' 'Emollient'],['Support' 'Sensory'],"['A silicone that functions as a hydration-sealing occlusive and conditioning agent'
 'Has a higher viscosity and a drier finish than some other silicone ingredients'
 'Commonly used in skin care, makeup, and hair care formulations'
 'Deemed safe by the Cosmetic Ingredient Review Expert Panel']",Paula's Choice
Phenylalanine,Good,['Hydration' 'Anti-Aging'],['Antioxidant'],['Actives'],"['Essential amino acid' 'A precursor to melanin and dopamine'
 'Helps skin retain moisture'
 'Aids in reducing the appearance of an uneven skin tone']",Paula's Choice
Phenoxyisopropanol,Good,[],['Preservative'],['Utility'],[],Paula's Choice
Phenoxyethanol,Good,[],['Preservative'],['Utility'],"['Popular synthetic preservative that’s been globally approved for safe use in cosmetics in up to 1%Protects formulas from broad-spectrum pathogenic activity'
 'Backed by decades of research and safety assessments'
 'Versatile in that it is compatible in a large range of formulas/p'
 'H ranges'
 'Considered gentle on skin (incidence of a sensitized reaction to phenoxyethanol is rare)']",Paula's Choice
Phalaenopsis Amabilis Extract,Good,['Anti-Aging'],['Antioxidant' 'Plant Extracts'],['Actives' 'Support'],"['Derived from type of orchid'
 'Likely has antioxidant properties that benefit skin'
 'Alleged soothing and firming benefits' 'Independent research is lacking']",Paula's Choice
The Ultimate Guide to pH and Your Skin,,[],[],[],[],Paula's Choice
Pfaffia Paniculata Root Extract,Good,['Anti-Aging'],['Antibacterial' 'Antioxidant' 'Plant Extracts'],['Actives' 'Support'],"['From the suma, or Brazilian ginseng, plant'
 'Has anti-inflammatory properties' 'Also has antioxidant benefits']",Paula's Choice
Peucedanum Japonicum Leaf/Stem Extract,Good,['Anti-Aging' 'Soothing'],['Antioxidant' 'Plant Extracts'],['Actives' 'Support'],"['Derived from Japanese parsley' 'Has antioxidant properties'
 'Can fight oxidative stressed caused by blue light'
 'Has soothing benefits']",Paula's Choice
Pentylene Glycol,Good,['Hydration'],['Humectant' 'Solvent' 'Preservative'],['Support' 'Utility'],"['Occurs naturally in some plants (such as sugar beets)Binds well to water, making it a good hydrating ingredient'
 'Has mild preservative properties'
 'Has been deemed safe as used in cosmetics']",Paula's Choice
Pentasodium Pentetate,Good,[],['Chelating Agent'],['Utility'],[],Paula's Choice
Pentapeptide-34 trifluoroacetate,Good,['Anti-Aging'],['Antioxidant' 'Peptides'],['Actives'],"['Synthetic peptide said to help boost skin’s coenzyme Q10 content'
 'May help energize skin’s uppermost layers'
 'Only low levels needed for documented efficacy'
 'Independent research on this peptide is lacking'
 'May help protect skin from air polution damage']",Paula's Choice
Pentapeptide-18,Good,['Anti-Aging' 'Evens Skin Tone' 'Hydration'],['Peptides'],['Actives'],"['Considered a neurotransmitter-inhibiting peptide (“neuropeptide”)Most famously studied for its ability to visibly minimize expression lines and wrinkle depth'
 'Also noted in research for its ability to hydrate skin and improve firmness'
 'May also have the potential to reduce skin discolorations']",Paula's Choice
Pentaerythrityl Tetraoctanoate,Good,[],['Occlusive/Opacifying Agent' 'Texture Enhancer'],['Support' 'Sensory'],[],Paula's Choice
Pentaerythrityl Tetraisostearate,Good,[],['Emollient' 'Texture Enhancer'],['Support' 'Sensory'],"['Functions as a thickener, moisturizing ingredient, and binding agent'
 'Derived from the fatty acid isostearic acid'
 'Used in cosmetics in amounts from 0.1% to 55%Deemed safe as used in skin care products']",Paula's Choice
Pentaerythrityl Tetraethylhexanoate,Good,['Hydration'],['Emollient' 'Texture Enhancer'],['Support' 'Sensory'],"['Assists skin in trapping moisture, allowing for a smooth, plump appearance'
 'Enhances and thickens a formula’s texture'
 'Used in cosmetics in amounts ranging from .06% to 50%CIR Expert Panel deemed safe for use in cosmetics and skin care products']",Paula's Choice
Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate,Good,[],['Antioxidant'],['Actives'],"['Synthetic ingredient that works as an antioxidant'
 'Helps ensure consistent efficacy and stability of other antioxidants'
 'Prevents unwanted color changes in cosmetics'
 'Works best in products that contain fats and oils']",Paula's Choice
Pentaerythrityl Distearate,Good,['Hydration'],['Emollient' 'Texture Enhancer'],['Support' 'Sensory'],"['Used as an emulsifying agent and emollient in skin care formulas'
 'Protects skin from water loss'
 'Often used in skin care to enhance formula texture'
 'Described as an off-white wax-like substance in its raw materials form']",Paula's Choice
Pentaclethra Macroloba Seed Oil,Good,['Anti-Aging' 'Dark Spot Fading' 'Evens Skin Tone' 'Hydration'],['Antioxidant' 'Plant Extracts' 'Emollient'],['Actives' 'Support'],"['Has antioxidant properties' 'Rich in hydrating fatty acids'
 'Can potentially fight hyperpigmentation' 'Also called pracaxi oil']",Paula's Choice
PEG 90M,Good,[],['Texture Enhancer' 'pH Adjuster/Stabilizer'],['Utility' 'Sensory'],[],Paula's Choice
PEG-8 Dimethicone,Good,['Hydration'],['Silicone' 'Polymer' 'Humectant'],['Support' 'Sensory'],"['Synthetic replenishing agent that has a softening effect on skin and hair'
 'Can be used as an oil-in-water emulsifier to enhance the overall texture of a formula'
 'May help to “detackify” ingredients in formulations'
 'Adds moisture to surfactant-based products such as shampoos, body washes, and facial cleanser'
 'Deemed safe for cosmetic use']",Paula's Choice
PEG-8 Beeswax,Good,['Hydration'],['Emollient' 'Texture Enhancer'],['Support' 'Sensory'],"['Formed by the esterification of beeswax and polyethylene glycol'
 'Adds emollience to formulas' 'Emulsifier and surfactant'
 'Light-colored wax in its raw form' 'Ruled safe as used in cosmetics']",Paula's Choice
PEG-80 Sorbitan Laurate,Good,[],['Cleansing Agent'],['Utility'],[],Paula's Choice
PEG-8,Good,['Hydration'],['Humectant' 'Solvent'],['Support' 'Utility'],[],Paula's Choice
PEG-7 Glyceryl Cocoate,Good,['Hydration'],['Cleansing Agent' 'Emollient'],['Support' 'Utility'],"['Emollient, surfactant, and emulsifier that’s partially derived from coconut'
 'Often used in moisturizers, hair conditioners, and cleansers'
 'Purification process helps control any potentially dangerous byproducts'
 'Deemed safe as used in cosmetics']",Paula's Choice
PEG-75 Stearate,Good,[],['Cleansing Agent'],['Utility'],[],Paula's Choice
PEG-75 Shea Butter Glycerides,Good,['Hydration'],['Emollient' 'Cleansing Agent'],['Support' 'Utility'],"['Made partly from the hydrating glyceride portion of emollient shea butter'
 'PEG-75 is a lightweight humectant and helps bind ingredients in a formula'
 'Works with surfactants to boost gentle cleansing'
 'Leaves skin feeling soft and supple']",Paula's Choice
PEG-75,Good,['Hydration'],['Humectant'],['Support'],['Functions as a humectant to boost skin’s hydration\u202fMay also be used as a solvent to mesh ingredients cohesively and enhance formulary texture\u202fConsidered a higher molecular weight PEGProven track record as a safe skin care ingredient'],Paula's Choice
PEG-60 Hydrogenated Castor Oil,Good,['Hydration'],['Plant Extracts' 'Emollient' 'Cleansing Agent'],['Support' 'Utility'],"['Primarily used as a cleansing agent'
 'Helps whisk away oil, dirt and other debris'
 'Provides emulsifying and solubilizing benefits which improves aesthetics and performance'
 'Proven track record as a safe cosmetic ingredient'
 'Identified concentrations in cosmetic use range from 0.00004% to 18%']",Paula's Choice
PEG-60 Almond Glycerides,Good,['Hydration'],['Emollient'],['Support'],"['Derivative of fatty acids from almond oil'
 'Functions as a skin-conditioning agent, emollient, and emulsifier'
 'Found non-irritating even in concentrations up to 20%']",Paula's Choice
PEG-40 Stearate,Good,[],['Cleansing Agent'],['Utility'],"['Typically functions as a cleansing agent in skin care formulas'
 'Can also be used as a thickener/texture enhancer or to help keep ingredients soluble'
 'Known to enhance the penetration of other key ingredients'
 'Long history of safe cosmetic use']",Paula's Choice
PEG-40 Hydrogenated Castor Oil,Good,['Hydration'],['Plant Extracts' 'Emollient' 'Texture Enhancer'],['Support' 'Sensory'],"['Acts as an emollient, emulsifying agent, and solubility-enhancing ingredient'
 'Imparts a soft feel on skin and minimizes moisture loss'
 'Proven track record as non-sensitizing and safe for use in cosmetics'
 'Created from a mixture of synthetic polyethylene glycol (PEG) + natural castor oil'
 'Molecular properties allow it to effectively moisturize skin’s surface']",Paula's Choice
PEG-4,Good,[],['Humectant'],['Support'],"['Type of polyethylene glycol'
 'Used as a humectant and solvent in cosmetics'
 'Ruled safe for use in skin care'
 'Highest concentration (20%) is used in manicure preparations']",Paula's Choice
PEG-33,Good,['Hydration'],['Polymer' 'Humectant' 'Solvent'],['Support' 'Utility' 'Sensory'],"['Lightweight, skin-friendly polymer'
 'Helps draw and hold moisture within skin' 'Enhances formulary stability'
 'Works as a non-irritating solvent']",Paula's Choice
PEG-32,Good,['Hydration'],['Emulsifier' 'Solvent' 'Humectant'],['Support' 'Utility'],[],Paula's Choice
Peg-30 Stearate,Good,[],['Cleansing Agent' 'Suspending/Dispersing Agent' 'Emulsifier'],['Utility' 'Sensory'],"['Made from polyethylene glycol and stearic acid'
 'Has cleansing, emulsifying, suspending, and solubolizing properties'
 'May be animal-derived or synthetic'
 'Considered safe as used in cosmetics'
 'Among the lesser-used PEG compounds']",Paula's Choice
PEG-20 Methyl Glucose Sesquistearate,Good,['Hydration'],['Cleansing Agent' 'Emollient' 'Emulsifier'],['Support' 'Utility'],"['Mixture of a glycol with a fatty acid and glucose that offers multiple functions within cosmetic formulas'
 'Can be used as a gentle cleansing agent or oil-in-water emulsifier'
 'Provides emollient properties to deliver a soft afterfeel to skin'
 'Described as a pale yellow liquid in raw material form']",Paula's Choice
PEG-20 Glyceryl Triisostearate,Good,['Hydration'],['Cleansing Agent' 'Emollient' 'Emulsifier'],['Support' 'Utility'],"['An ester of the fatty acid isostearic acid combined with polyethylene glycol and glycerin'
 'May be animal-derived or synthetic'
 'Commonly used as an emulsifier and mild cleansing agent'
 'Noted for offering skin-softening properties']",Paula's Choice
PEG-200 Hydrogenated Glyceryl Palmate,Good,[],['Texture Enhancer'],['Sensory'],"['Thickener used in hair and skin care products' 'Also an emulsifier'
 'Ruled safe as used in cosmetics'
 'Appears as a slightly yellowish liquid in its raw form']",Paula's Choice
PEG-150 Distearate,Good,[],['Cleansing Agent'],['Utility'],[],Paula's Choice
PEG-14,Good,['Hydration'],['Polymer' 'Humectant'],['Support' 'Sensory'],"['Functions as a humectant to increase skin’s hydration'
 'May also be used as a solvent to mesh ingredients cohesively'
 'Deemed safe by the Cosmetic Ingredient Review Expert Panel'
 'With any PEG ingredient followed by a number, the lower the number, the lighter weight the ingredient']",Paula's Choice
PEG-12 Glyceryl Dimyristate,Good,['Hydration'],['Humectant'],['Support'],[],Paula's Choice
PEG-12 Dimethicone,Good,['Hydration'],['Emollient' 'Silicone'],['Support' 'Sensory'],"['Blend of skin-protective dimethicone + a lightweight polyethylene glycol'
 'Functions as a hair/skin-conditioning agent'
 'Also helps improve the texture and perceived finish of skin care formulas'
 'Deemed a safe cosmetic ingredient']",Paula's Choice
PEG-120 Methyl Glucose Dioleate,Good,[],['Cleansing Agent' 'Texture Enhancer'],['Utility' 'Sensory'],[],Paula's Choice
PEG-10 Rapeseed Sterol,Good,['Hydration'],['Cleansing Agent' 'Emollient'],['Support' 'Utility'],"['Hybrid blend of synthetic and plant-derived ingredients'
 'Contains fatty acid from the rapeseed plant' 'Used as a cleansing agent'
 'Also an emulsifier']",Paula's Choice
PEG-10 Phytosterol,Good,[],['Cleansing Agent' 'Emulsifier'],['Utility'],"['Used in skin care products as a cleansing agent/emulsifier'
 'Plays a role in enhancing the overall texture of a formula'
 'Goes by alternate names depending on how it’s sourced'
 'Soy-based phytosterols can help rejuvenate aging skin by keeping it pliant and supple'
 'Recognized as safe for use in cosmetic products']",Paula's Choice
PEG-10 Dimethicone/Vinyl Dimethicone Crosspolymer,Good,['Hydration'],['Silicone' 'Emollient' 'Polymer'],['Support' 'Sensory'],[],Paula's Choice
PEG-10 Dimethicone,Good,['Hydration'],['Silicone' 'Humectant'],['Support' 'Sensory'],[],Paula's Choice
PEG-100 Stearate,Good,[],['Cleansing Agent' 'Emulsifier' 'pH Adjuster/Stabilizer'],['Utility'],"['Multitasking ingredient that can be used as an emulsifier/cleansing agent in cosmetic formulas'
 'May also be utilized to deliver a soft, moisturized feel to skin, thanks to its emollient properties'
 'In cleansing solutions, it helps contribute to the foamability of the formula'
 'Deemed safe by the Cosmetic Ingredient Review Expert Panel']",Paula's Choice
PEG/PPG-20/15 Dimethicone,Good,[],['Cleansing Agent' 'Emulsifier' 'Silicone'],['Utility' 'Sensory'],[],Paula's Choice
PEG/PPG-18/4 Copolymer,Good,[],['Solvent' 'Polymer'],['Utility' 'Sensory'],[],Paula's Choice
PEG/PPG-18/18 Dimethicone,Good,[],['Cleansing Agent' 'Emulsifier' 'Silicone'],['Utility' 'Sensory'],"['Type of silicone that enhances formulary texture and spreadability'
 'Creates a breathable barrier that prevents water loss (ideal for improving dehydrated skin)Found in a variety of beauty products including makeup, sunscreen, and hair care'
 'Deemed safe by the Cosmetic Ingredient Review Expert Panel']",Paula's Choice
PEG/PPG-17/6 Copolymer,Good,[],['Solvent' 'Polymer'],['Utility' 'Sensory'],"['Works primarily as a solvent'
 'Additional functions include moisturizer and cleansing agent'
 'Is a moderate-viscosity fluid' 'Deemed safe as used in cosmetics']",Paula's Choice
PEG/PPG-14/4 Dimethicone,Good,[],['Emulsifier' 'Cleansing Agent'],['Utility'],"['Derivative of the silicone dimethicone combined with two glycols'
 'Serves as a surfactant and emulsifier' 'Also conditions hair and skin'
 'Ruled safe as used in cosmetics']",Paula's Choice
PEG,Good,[],['Cleansing Agent' 'Emollient' 'Emulsifier'],['Support' 'Utility'],[],Paula's Choice
Pectin,Good,[],['Texture Enhancer'],['Sensory'],[],Paula's Choice
Pecan Oil,Good,['Hydration'],['Emollient' 'Plant Extracts' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Peanut Oil,Good,['Hydration'],['Emollient' 'Plant Extracts' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
PCA Dimethicone,Good,['Hydration'],['Emollient' 'Polymer' 'Silicone'],['Support' 'Sensory'],"['Stable siloxane polymer'
 'Created through the combination of dimethicone and pyrrolidone carboxylic acid'
 'Helps skin hydration through the reduction of transepidermal water loss'
 'Gives cosmetic formulas an elegant, silky feel']",Paula's Choice
PCA,Good,['Hydration'],['Humectant'],['Support'],"['Humectant derived from amino acids'
 'Increases water content (hydration) in the uppermost layers of skin'
 'Also part of skin’s natural moisturizing factor'
 'Often linked with mineral electrolytes to further supercharge hydration within skin’s aquaporins']",Paula's Choice
Passion Fruit Extract,Good,['Anti-Aging'],['Plant Extracts' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Passiflora Edulis Extract,Good,['Anti-Aging' 'Hydration'],['Plant Extracts' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Paraffinum Liquidum,Good,['Hydration'],['Emollient'],['Support'],[],Paula's Choice
Paraffin,Good,['Hydration'],['Texture Enhancer' 'Occlusive/Opacifying Agent'],['Support' 'Sensory'],"['Saturated white wax derived from petroleum'
 'Highly purified for use in cosmetics'
 'Emollient properties soften, smooth + help protect skin'
 'Helps prevent dry, cracked lips' 'Considered safe as used in cosmetics']",Paula's Choice
Parabens,Good,[],['Preservative'],['Utility'],"['Group of controversial preservatives'
 'Includes butylparaben, isobutylparaben, propylparaben, methylparaben and ethylparaben'
 'In low amounts, parabens were not shown to harm skin']",Paula's Choice
Pantolactone,Good,['Hydration'],['Humectant'],['Support'],"['Synthetic humectant that helps maintain skin’s moisture'
 'Required to make the B vitamins panthenol and pantothenic acid'
 'Often found in blends with other hydrating ingredients'
 'Also used to make panthenol derivatives that help skin and hair']",Paula's Choice
Panthenyl Triacetate,Good,['Soothing'],['Humectant'],['Support'],"['An ester of panthenol' 'Best known for its soothing properties'
 'Helps boost skin’s metabolism'
 'Oil solubility lets it penetrate further into skin than panthenol']",Paula's Choice
Palm Kernel Acid,Good,[],['Occlusive/Opacifying Agent' 'Cleansing Agent' 'Emulsifier'],['Support' 'Utility'],[],Paula's Choice
Palmitoyl Tetrapeptide-10,Good,['Anti-Aging'],['Peptides'],['Actives'],"['Synthetic peptide' 'Not widely used in cosmetics'
 'Manufacturer claims it improves brightness + smoothness']",Paula's Choice
Palmitoyl Grapevine Shoot Extract,Good,['Anti-Aging'],['Antioxidant' 'Plant Extracts'],['Actives' 'Support'],"['Combination of palmitic acid and grapevine shoots'
 'Proprietary ingredient for Caudalie' 'Has antioxidant properties'
 'A natural source of resveratrol']",Paula's Choice
Palmitoyl Dipeptide-5 Diaminohydroxybutyrate,Good,['Anti-Aging'],['Peptides'],['Actives'],"['Synthetic peptide' 'Derived partly from palmitic acid'
 'Skin conditioning ingredient' 'Could also improve skin firmness']",Paula's Choice
Palmitic Acid,Good,[],['Occlusive/Opacifying Agent' 'Cleansing Agent' 'Emulsifier'],['Support' 'Utility'],"['Fatty acid found naturally in skin'
 'The most common fatty acid found in animals, plants, and microorganisms'
 'Functions as a detergent cleansing agent, emulsifier, and emollient'
 'Determined safe as used in cosmetics']",Paula's Choice
Palmaria Palmata Extract,Good,['Anti-Aging' 'Hydration' 'Soothing'],['Plant Extracts' 'Antioxidant' 'Humectant'],['Actives' 'Support'],[],Paula's Choice
Padina Pavonica Extract,Good,['Anti-Aging' 'Hydration'],['Plant Extracts' 'Antioxidant' 'Emollient'],['Actives' 'Support'],[],Paula's Choice
Ozokerite,Good,[],['Occlusive/Opacifying Agent' 'Texture Enhancer'],['Support' 'Sensory'],[],Paula's Choice
Oxybenzone,Good,['Anti-Aging'],['UV Filters'],['Actives'],"['Globally approved UV filter' 'Offers both UVA and UVB protection'
 'Has weak estrogenic properties that do not pose a health risk'
 'Not definitively proven to damage corals in real-world settings'
 'Despite claims to the contrary, it’s unlikely to irritate skin when used in approved amounts']",Paula's Choice
Olive Oil PEG-7 Esters,Good,['Hydration'],['Cleansing Agent' 'Emollient' 'Emulsifier'],['Support' 'Utility'],"['Works as an emollient, emulsifier, and mild cleansing agent'
 'Also used as solubilizing agent for essential oils and fragrance ingredients'
 'Created from a combination of pure olive oil and PEG-7 (a synthetic humectant and solvent)Deemed safe by the Cosmetic Ingredient Review Expert Panel']",Paula's Choice
